checkpoint_month,domain,title,description,source,source_url,sort_order
0,physical,Moves both arms and legs,CDC framework; pre-2-month app organization,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,1
0,physical,Briefly turns head,CDC framework; pre-2-month app organization,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,2
0,cognitive,Looks toward nearby faces,CDC framework; pre-2-month app organization,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,1
0,cognitive,Briefly focuses on nearby objects,CDC framework; pre-2-month app organization,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,2
0,language,Reacts to sounds,CDC framework; pre-2-month app organization,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,1
0,language,Communicates mainly by crying,CDC framework; pre-2-month app organization,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,2
1,physical,Moves both arms and legs,CDC framework; pre-2-month app organization,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,1
1,physical,Briefly lifts or turns head,CDC framework; pre-2-month app organization,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,2
1,cognitive,Looks at faces,CDC framework; pre-2-month app organization,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,1
1,cognitive,Briefly watches nearby objects,CDC framework; pre-2-month app organization,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,2
1,language,Reacts to sounds,CDC framework; pre-2-month app organization,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,1
1,language,Makes early vocal sounds,CDC framework; pre-2-month app organization,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,2
2,physical,Holds head up during tummy time,CDC 2-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,1
2,physical,Moves both arms and legs,CDC 2-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,2
2,physical,Opens hands briefly,CDC 2-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,3
2,cognitive,Watches people move,CDC 2-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,1
2,cognitive,Looks at a toy for several seconds,CDC 2-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,2
2,language,Makes sounds other than crying,CDC 2-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,1
2,language,Reacts to loud sounds,CDC 2-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/2-months.html,2
3,physical,Holds head up during tummy time,Mapped to CDC 2-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/2-months.html,1
3,physical,Moves arms and legs actively,Mapped to CDC 2-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/2-months.html,2
3,cognitive,Watches people move,Mapped to CDC 2-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/2-months.html,1
3,cognitive,Looks at a toy for several seconds,Mapped to CDC 2-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/2-months.html,2
3,language,Makes sounds other than crying,Mapped to CDC 2-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/2-months.html,1
3,language,Reacts to loud sounds,Mapped to CDC 2-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/2-months.html,2
4,physical,Holds head steady,CDC 4-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,1
4,physical,Brings hands to mouth,CDC 4-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,2
4,physical,Pushes up onto elbows/forearms on tummy,CDC 4-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,3
4,cognitive,Looks at hands with interest,CDC 4-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,1
4,cognitive,Opens mouth when seeing breast or bottle if hungry,CDC 4-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,2
4,language,Makes cooing sounds,CDC 4-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,1
4,language,Makes sounds back when spoken to,CDC 4-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,2
4,language,Turns toward your voice,CDC 4-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,3
5,physical,Holds head steady,Mapped to CDC 4-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,1
5,physical,Brings hands to mouth,Mapped to CDC 4-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,2
5,physical,Pushes up during tummy time,Mapped to CDC 4-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,3
5,cognitive,Looks at hands and nearby objects with interest,Mapped to CDC 4-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,1
5,language,Coos,Mapped to CDC 4-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,1
5,language,Makes sounds back when spoken to,Mapped to CDC 4-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,2
5,language,Turns toward voices,Mapped to CDC 4-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/4-months.html,3
6,physical,Rolls from tummy to back,CDC 6-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,1
6,physical,Pushes up with straight arms,CDC 6-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,2
6,physical,Leans on hands while sitting,CDC 6-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,3
6,cognitive,Reaches for a wanted toy,CDC 6-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,1
6,cognitive,Explores objects with mouth,CDC 6-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,2
6,cognitive,Closes lips to show no more food,CDC 6-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,3
6,language,Takes turns making sounds,CDC 6-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,1
6,language,Squeals,CDC 6-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,2
6,language,Blows raspberries,CDC 6-month checklist,CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/milestones/index.html,3
7,physical,Rolls from tummy to back,Mapped to CDC 6-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/index.html,1
7,physical,Pushes up with straight arms,Mapped to CDC 6-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/index.html,2
7,physical,Leans on hands while sitting,Mapped to CDC 6-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/index.html,3
7,cognitive,Reaches for toys and explores objects with mouth,Mapped to CDC 6-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/index.html,1
7,language,Takes turns making sounds,Mapped to CDC 6-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/index.html,1
7,language,Squeals and makes playful sounds,Mapped to CDC 6-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/index.html,2
8,physical,Rolls from tummy to back,Mapped to CDC 6-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/index.html,1
8,physical,Pushes up with straight arms,Mapped to CDC 6-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/index.html,2
8,physical,Leans on hands while sitting,Mapped to CDC 6-month checklist (younger checklist),CDC Learn the Signs. Act Early.,https://www.cdc.gov/act-early/digital-online-checklist/index.html,3
