checkpoint_months,domain,milestone_text,source_label,source_url
2,physical,Holds head up when on tummy and moves both arms and legs,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-2mo.html
2,cognitive,Pays attention to faces and looks at a toy for several seconds,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-2mo.html
2,language,Makes gurgling or cooing sounds and turns head toward sounds,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-2mo.html
2,social_emotional,Calms down when spoken to or picked up and smiles when you talk to them,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-2mo.html
6,physical,Rolls from tummy to back and pushes up with straight arms when on tummy,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-6mo.html
6,cognitive,Brings things to mouth to explore them and reaches to grab a toy,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-6mo.html
6,language,Makes sounds back when talked to and blows raspberries,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-6mo.html
6,social_emotional,Knows familiar faces and likes to look at self in a mirror,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-6mo.html
12,physical,Pulls up to stand and walks holding on to furniture,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-12mo.html
12,cognitive,Puts things into a container and looks for objects they see you hide,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-12mo.html
12,language,Waves bye-bye and calls at least one parent mama or dada,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-12mo.html
12,social_emotional,Plays games with you like peek-a-boo and pat-a-cake,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-12mo.html
18,physical,Walks without holding on to anyone or anything and scribbles,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-18mo.html
18,cognitive,Plays pretend like feeding a doll and points to show interest,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-18mo.html
18,language,Says several single words and tries to say three or more words besides mama or dada,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-18mo.html
18,social_emotional,Moves away from you to explore but looks back to make sure you are near,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-18mo.html
24,physical,Kicks a ball and runs,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-24mo.html
24,cognitive,Holds something in one hand while using the other hand and operates switches or buttons,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-24mo.html
24,language,Says at least two words together like More milk and points to things in a book when asked,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-24mo.html
24,social_emotional,Notices when others are hurt or upset and looks at your face to see how to react,CDC Learn the Signs. Act Early.,https://www.cdc.gov/ncbddd/actearly/milestones/milestones-24mo.html
